Monster,Level,Norm_Elite,Health,Move,Attack,Range,RangeAmt,StatusEffect1
Cave Bear,0,Normal,7,3,3,N,0,None
Cave Bear,0,Elite,11,3,4,N,0,None
Cave Bear,1,Normal,9,3,3,N,0,None
Cave Bear,1,Elite,14,3,4,N,0,None
Cave Bear,2,Normal,11,4,3,N,0,None
Cave Bear,2,Elite,17,4,4,N,0,None
Cave Bear,3,Normal,13,4,4,N,0,None
Cave Bear,3,Elite,20,4,5,N,0,None
Cave Bear,4,Normal,16,4,4,N,0,None
Cave Bear,4,Elite,21,5,5,N,0,Wound
Cave Bear,5,Normal,17,5,4,N,0,Wound
Cave Bear,5,Elite,24,5,6,N,0,Wound
Cave Bear,6,Normal,19,5,5,N,0,Wound
Cave Bear,6,Elite,28,5,7,N,0,Wound
Cave Bear,7,Normal,22,5,5,N,0,Wound
Cave Bear,7,Elite,33,5,7,N,0,Wound
